Buffer,Agency,Line(s),Station Name,Year Opened,Latitude,Longitude,Block_FIPS,FIPS
Existing Transit,Amtrak ,Hiawatha,Amtrak Milwaukee,Pre-2000,43.0345,-87.9166,550791874003003,55079187400
Existing Transit,Amtrak ,Hiawatha,Milwaukee General Mitchell Int Airport,Pre-2000,42.940747650094,-87.92457103729248,550790217005018,55079021700
Existing Transit,Amtrak ,Hiawatha,Sturtevant,Pre-2000,42.718708984619674,-87.90597259998322,551010017026002,55101001702
Existing Transit,CTA,Blue Line,Addison-Blue,Pre-2000,41.94738,-87.71906,170311609001029,17031160900
Existing Transit,CTA,Blue Line,Austin-Blue,Pre-2000,41.870851,-87.776812,170318131001009,17031813100
Existing Transit,CTA,Blue Line,Belmont-Blue,Pre-2000,41.938132,-87.712359,170312106011005,17031210601
Existing Transit,CTA,Blue Line,California-O'Hare,Pre-2000,41.921939,-87.69689,170312214002003,17031221400
Existing Transit,CTA,Blue Line,Chicago-Blue,Pre-2000,41.896075,-87.655214,170312435002007,17031243500
Existing Transit,CTA,Blue Line,Cicero-Forest Park,Pre-2000,41.871574,-87.745154,170318314001009,17031831400
Existing Transit,CTA,Blue Line,Clinton-Blue,Pre-2000,41.875539,-87.640984,170318419001018,17031841900
Existing Transit,CTA,Blue Line,Cumberland,Pre-2000,41.984246,-87.838028,170317608012001,17031760801
Existing Transit,CTA,Blue Line,Damen-O'Hare,Pre-2000,41.909744,-87.677437,170312414001003,17031241400
Existing Transit,CTA,Blue Line,Division,Pre-2000,41.903355,-87.666496,170312420003002,17031242000
Existing Transit,CTA,Blue Line,Forest Park,Pre-2000,41.874257,-87.817318,170318160003011,17031816000
Existing Transit,CTA,Blue Line,Grand-Blue,Pre-2000,41.891189,-87.647578,170318423002036,17031842300
Existing Transit,CTA,Blue Line,Harlem-Forest Park,Pre-2000,41.87349,-87.806961,170318161001004,17031816100
Existing Transit,CTA,Blue Line,Harlem-O'Hare,Pre-2000,41.98227,-87.8089,170311005001001,17031100500
Existing Transit,CTA,Blue Line,Illinois Medical District,Pre-2000,41.875706,-87.673932,170318381001003,17031838100
Existing Transit,CTA,Blue Line,Irving Park-Blue,Pre-2000,41.952925,-87.729229,170311610001001,17031161000
Existing Transit,CTA,Blue Line,Jackson-Blue,Pre-2000,41.878183,-87.629296,170318391001091,17031839100
Existing Transit,CTA,Blue Line,Jefferson Park,Pre-2000,41.970634,-87.760892,170311105022028,17031110502
