iter	MultiClass
0	1.530791889
1	1.459433245
2	1.402470909
3	1.354198336
4	1.314703702
5	1.273748925
6	1.239726954
7	1.208864961
8	1.18440435
9	1.161027912
10	1.142633679
11	1.125265419
12	1.10801275
13	1.08973319
14	1.072519301
15	1.057495008
16	1.044670714
17	1.031121348
18	1.021681185
19	1.008930673
20	0.9979734334
21	0.9886144932
22	0.9784283891
23	0.9683481372
24	0.9585356523
25	0.9509072919
26	0.9437085935
27	0.9364047911
28	0.928363714
29	0.921547462
30	0.9130598687
31	0.906476624
32	0.8994058761
33	0.8929030595
34	0.8876226242
35	0.8812857128
36	0.8747542767
37	0.8703051788
38	0.864693741
39	0.8590872912
40	0.8548752274
41	0.8501531274
42	0.8439128562
43	0.8388110205
44	0.8351321669
45	0.8307177496
46	0.8279545073
47	0.8231748453
48	0.8195375828
49	0.8156916447
50	0.8115227552
51	0.8069051674
52	0.8031954214
53	0.7985201977
54	0.7952771228
55	0.792311784
56	0.7886722399
57	0.7856979809
58	0.781223545
59	0.7776494591
60	0.7744661106
61	0.7709265292
62	0.7680161213
63	0.765145826
64	0.7608820411
65	0.7574680404
66	0.7535589175
67	0.7512175086
68	0.7484654593
69	0.7461343984
70	0.7425831542
71	0.7399379406
72	0.7381721415
73	0.7344586721
74	0.7305010039
75	0.7286519532
76	0.7257866843
77	0.7212023251
78	0.7195280248
79	0.7175534684
80	0.7147577912
81	0.7120035484
82	0.7079016829
83	0.7066706127
84	0.704569475
85	0.7003307492
86	0.6984806802
87	0.6940356801
88	0.690694814
89	0.6886868552
90	0.6864829912
91	0.6842769022
92	0.6811979878
93	0.6791138564
94	0.6768873952
95	0.674134106
96	0.6722401998
97	0.6697404861
98	0.6671440597
99	0.6625702386
100	0.65901783
101	0.6574382139
102	0.6540521016
103	0.6515353926
104	0.6499722594
105	0.6480090261
106	0.644585905
107	0.6425182094
108	0.6407753673
109	0.6380404765
110	0.6354700734
111	0.6335430513
112	0.6306012224
113	0.6289142234
114	0.627592351
115	0.6260366373
116	0.623969742
117	0.621278851
118	0.6191294307
119	0.6168068337
120	0.6154279653
121	0.6128647384
122	0.609655651
123	0.607541854
124	0.6057253157
125	0.6022267363
126	0.5989713258
127	0.5966602162
128	0.5946827761
129	0.5916046442
130	0.5900232056
131	0.5873636901
132	0.5843510376
133	0.5817169484
134	0.5802798135
135	0.5776644294
136	0.5758440066
137	0.57407081
138	0.571810833
139	0.5693105742
140	0.5669529059
141	0.5652461276
142	0.5639140204
143	0.5619010326
144	0.5594320441
145	0.5582437082
146	0.5564296815
147	0.5545220149
148	0.5530343604
149	0.5513187163
150	0.5491840504
151	0.5463094918
152	0.5448292924
153	0.5435624234
154	0.5425493693
155	0.5408887494
156	0.539352312
157	0.53758663
158	0.5359338873
