iter	Passed	Remaining
0	4	2213
1	7	1884
2	10	1784
3	13	1709
4	16	1655
5	19	1604
6	22	1586
7	25	1561
8	28	1541
9	31	1522
10	33	1509
11	36	1499
12	39	1493
13	42	1484
14	45	1474
15	48	1469
16	51	1462
17	54	1454
18	57	1451
19	60	1446
20	63	1445
21	66	1437
22	68	1430
23	71	1427
24	74	1424
25	77	1418
26	81	1419
27	83	1415
28	87	1413
29	90	1410
30	93	1410
31	96	1408
32	99	1404
33	102	1400
34	105	1399
35	108	1394
36	111	1389
37	114	1386
38	116	1381
39	119	1377
40	122	1375
41	125	1371
42	128	1367
43	131	1363
44	134	1358
45	137	1356
46	140	1351
47	143	1350
48	146	1352
49	150	1351
50	153	1355
51	157	1355
52	160	1357
53	165	1367
54	169	1370
55	172	1367
56	176	1369
57	184	1403
58	187	1404
59	191	1407
60	196	1411
61	199	1410
62	202	1406
63	206	1407
64	210	1410
65	214	1408
66	217	1403
67	220	1402
68	224	1403
69	229	1407
70	233	1412
71	237	1412
72	240	1408
73	244	1407
74	249	1411
75	253	1414
76	258	1417
77	262	1421
78	267	1423
79	272	1429
80	275	1426
81	279	1424
82	283	1423
83	287	1424
84	290	1420
85	296	1426
86	300	1427
87	304	1426
88	308	1422
89	312	1424
90	316	1422
91	320	1422
92	324	1418
93	328	1419
94	331	1415
95	336	1414
96	339	1411
97	343	1408
98	346	1405
99	350	1402
100	354	1399
101	357	1396
102	361	1393
103	364	1388
104	369	1388
105	372	1384
106	376	1381
107	380	1379
108	383	1376
109	387	1372
110	390	1368
111	393	1364
112	397	1359
113	401	1358
114	404	1353
115	407	1350
116	411	1346
117	414	1342
118	418	1339
119	421	1334
120	425	1332
121	429	1329
122	432	1326
123	438	1329
124	444	1332
125	451	1340
126	458	1346
127	462	1343
128	472	1358
129	477	1359
130	482	1359
131	487	1358
132	491	1357
133	495	1352
134	499	1350
135	502	1345
136	506	1341
137	510	1338
138	514	1335
139	518	1333
140	522	1329
141	525	1326
142	530	1323
143	534	1321
144	538	1317
145	542	1314
146	546	1311
147	550	1308
148	554	1305
149	557	1301
150	561	1297
151	565	1294
152	568	1290
153	572	1286
154	576	1282
155	579	1278
156	584	1276
157	587	1272
158	591	1269
159	595	1265
160	599	1261
161	603	1258
162	607	1255
163	611	1252
164	616	1251
165	619	1247
166	623	1243
167	627	1239
168	631	1236
169	634	1231
170	638	1228
171	641	1223
172	645	1219
173	649	1216
174	652	1212
175	656	1207
176	659	1202
177	662	1198
178	665	1193
179	669	1189
180	672	1185
181	675	1180
182	679	1177
183	682	1171
184	685	1167
185	689	1163
186	692	1158
187	695	1154
188	699	1150
189	702	1146
190	705	1141
191	709	1137
192	712	1133
193	715	1128
194	718	1124
195	721	1119
196	725	1115
197	728	1111
198	731	1106
199	735	1102
200	739	1100
201	742	1096
202	746	1092
203	749	1087
204	753	1084
205	757	1080
206	760	1076
207	763	1072
208	767	1068
209	770	1063
210	773	1059
211	777	1055
212	780	1051
213	783	1047
214	787	1043
215	790	1039
216	793	1035
217	796	1030
218	800	1026
219	803	1022
220	807	1019
221	810	1014
222	813	1010
223	817	1007
224	820	1002
225	823	998
226	827	994
227	830	990
228	834	988
229	838	983
230	841	980
231	844	975
232	848	972
233	851	968
234	854	963
235	858	960
236	861	955
237	864	951
238	868	947
239	871	943
240	874	940
241	877	935
242	881	931
243	884	927
244	887	923
245	891	920
246	894	916
247	898	912
248	901	908
249	904	904
250	908	900
251	911	896
252	914	893
253	918	889
254	922	885
255	925	881
256	928	878
257	931	874
258	935	870
259	938	866
260	942	862
261	945	858
262	949	855
263	952	851
264	955	847
265	959	843
266	963	840
267	966	837
268	971	834
269	975	831
270	980	828
271	985	826
272	990	823
273	996	821
274	1000	818
275	1006	816
276	1011	814
277	1016	811
278	1021	809
279	1026	806
280	1032	804
281	1039	803
282	1045	801
283	1051	799
284	1057	797
285	1064	796
286	1069	793
287	1074	791
288	1082	790
289	1087	787
290	1096	787
291	1103	785
292	1110	784
293	1114	780
294	1118	777
295	1123	774
296	1128	771
297	1132	767
298	1138	765
299	1143	762
300	1149	760
301	1159	760
302	1166	758
303	1172	756
304	1179	754
305	1185	751
306	1189	747
307	1194	744
308	1198	740
309	1203	737
310	1208	734
311	1212	730
312	1217	727
313	1221	723
314	1225	719
315	1229	715
316	1232	711
317	1238	708
318	1242	705
319	1246	701
320	1250	697
321	1254	693
322	1259	690
323	1267	688
324	1271	684
325	1276	681
326	1279	677
327	1283	673
328	1289	670
329	1292	666
330	1297	662
331	1301	658
332	1305	654
333	1309	650
334	1314	647
335	1317	643
336	1321	639
337	1324	635
338	1328	630
339	1332	626
340	1335	622
341	1339	618
342	1342	614
343	1346	610
344	1350	606
345	1354	602
346	1357	598
347	1361	594
348	1366	591
349	1370	587
350	1375	583
351	1381	580
352	1390	578
353	1398	576
354	1404	573
355	1408	569
356	1412	565
357	1417	562
358	1423	558
359	1427	555
360	1433	551
361	1438	548
362	1444	545
363	1450	541
364	1455	538
365	1460	534
366	1465	531
367	1469	527
368	1474	523
369	1480	520
370	1485	516
371	1489	512
372	1495	509
373	1501	505
374	1506	502
375	1511	498
376	1517	495
377	1524	491
378	1529	488
379	1534	484
380	1538	480
381	1542	476
382	1547	472
383	1553	469
384	1558	465
385	1562	461
386	1566	457
387	1573	454
388	1577	450
389	1582	446
390	1586	442
391	1591	438
392	1595	434
393	1599	430
394	1603	426
395	1608	422
396	1612	418
397	1616	414
398	1622	410
399	1628	407
400	1633	403
401	1639	399
402	1644	395
403	1648	391
404	1652	387
405	1655	383
406	1659	379
407	1662	374
408	1666	370
409	1669	366
410	1673	362
411	1677	358
412	1680	354
413	1684	349
414	1687	345
415	1691	341
416	1695	337
417	1699	333
418	1705	329
419	1708	325
420	1712	321
421	1716	317
422	1720	313
423	1724	309
424	1727	304
425	1732	300
426	1738	297
427	1742	293
428	1746	289
429	1751	285
430	1755	280
431	1759	276
432	1762	272
433	1767	268
434	1773	264
435	1777	260
436	1782	256
437	1792	253
438	1796	249
439	1800	245
440	1804	241
441	1809	237
442	1814	233
443	1817	229
444	1821	225
445	1824	220
446	1828	216
447	1832	212
448	1835	208
449	1840	204
450	1843	200
451	1847	196
452	1851	192
453	1855	188
454	1860	183
455	1864	179
456	1867	175
457	1872	171
458	1876	167
459	1881	163
460	1885	159
461	1890	155
462	1895	151
463	1900	147
464	1907	143
465	1914	139
466	1921	135
467	1931	132
468	1936	127
469	1940	123
470	1946	119
471	1951	115
472	1956	111
473	1960	107
474	1964	103
475	1968	99
476	1973	95
477	1977	91
478	1981	86
479	1985	82
480	1989	78
481	1993	74
482	1998	70
483	2002	66
484	2007	62
485	2013	57
486	2016	53
487	2020	49
488	2024	45
489	2028	41
490	2032	37
491	2036	33
492	2040	28
493	2044	24
494	2048	20
495	2052	16
496	2056	12
497	2097	8
498	2110	4
499	2115	0
